date,day,evening
2022-11-11,Friday,="4197"
2022-11-12,Saturday,="1447"
2022-11-13,Sunday,="9565"
2022-11-14,Monday,="3274"
2022-11-15,Tuesday,="2897"
2022-11-16,Wednesday,="3288"
2022-11-17,Thursday,="8771"
2022-11-18,Friday,="4959"
2022-11-19,Saturday,="9705"
2022-11-20,Sunday,="5811"
2022-11-21,Monday,="9319"
2022-11-22,Tuesday,="4335"
2022-11-23,Wednesday,="5868"
2022-11-24,Thursday,="7910"
2022-11-25,Friday,="0299"
2022-11-26,Saturday,="1081"
2022-11-27,Sunday,="2309"
2022-11-28,Monday,="5496"
2022-11-29,Tuesday,="4773"
2022-11-30,Wednesday,="6256"
2022-12-01,Thursday,="7273"
2022-12-02,Friday,="9097"
2022-12-03,Saturday,="8586"
2022-12-04,Sunday,="0599"
2022-12-05,Monday,="8508"
2022-12-06,Tuesday,="9314"
2022-12-07,Wednesday,="6411"
2022-12-08,Thursday,="1584"
2022-12-09,Friday,="4254"
2022-12-10,Saturday,="0897"
2022-12-11,Sunday,="5005"
2022-12-12,Monday,="2605"
2022-12-13,Tuesday,="6826"
2022-12-14,Wednesday,="3298"
2022-12-15,Thursday,="9212"
2022-12-16,Friday,="6855"
2022-12-17,Saturday,="5211"
2022-12-18,Sunday,="4178"
2022-12-19,Monday,="4746"
2022-12-20,Tuesday,="3730"
2022-12-21,Wednesday,="2782"
2022-12-22,Thursday,="1259"
2022-12-23,Friday,="5047"
2022-12-24,Saturday,="8789"
2022-12-25,Sunday,="9958"
2022-12-26,Monday,="1971"
2022-12-27,Tuesday,="5684"
2022-12-28,Wednesday,="5616"
2022-12-29,Thursday,="5292"
2022-12-30,Friday,="4856"
2022-12-31,Saturday,="2549"
