Year,Month,Day,DayName,midday,evening 
2021,9,27,Monday,6617,1041
2021,9,28,Tuesday,3373,5407
2021,9,29,Wednesday,8815,8424
2021,9,30,Thursday,4235,5379
2021,10,1,Friday,1094,6737
2021,10,2,Saturday,3881,3921
2021,10,3,Sunday,5018,2898
2021,10,4,Monday,1725,9352
2021,10,5,Tuesday,4396,0634
2021,10,6,Wednesday,7553,0798
2021,10,7,Thursday,2157,4372
2021,10,8,Friday,2175,5868
2021,10,9,Saturday,0587,7104
2021,10,10,Sunday,3301,6024
2021,10,11,Monday,3488,9783
2021,10,12,Tuesday,1434,7941
2021,10,13,Wednesday,4710,5393
2021,10,14,Thursday,1434,7321
2021,10,15,Friday,8495,2364
2021,10,16,Saturday,8418,3793
2021,10,17,Sunday,8997,6670
2021,10,18,Monday,5775,2129
2021,10,19,Tuesday,4340,1450
2021,10,20,Wednesday,1442,3157
2021,10,21,Thursday,8163,0924
2021,10,22,Friday,9589,5127
2021,10,23,Saturday,8274,1000
2021,10,24,Sunday,5745,8774
2021,10,25,Monday,3687,0262
2021,10,26,Tuesday,1068,7359
2021,10,27,Wednesday,4615,1775
2021,10,28,Thursday,4391,6813
2021,10,29,Friday,3291,0831
2021,10,30,Saturday,7503,4434
2021,10,31,Sunday,9514,9633
2021,11,1,Monday,5452,2212
2021,11,2,Tuesday,5454,5465
2021,11,3,Wednesday,0873,3535
2021,11,4,Thursday,3488,8842
2021,11,5,Friday,0101,3083
2021,11,6,Saturday,0940,8649
2021,11,7,Sunday,4062,2156
2021,11,8,Monday,2265,6496
2021,11,9,Tuesday,4050,1615
2021,11,10,Wednesday,3652,4171
2021,11,11,Thursday,9799,2697
2021,11,12,Friday,3216,7371
2021,11,13,Saturday,2376,3241
2021,11,14,Sunday,4441,5011
2021,11,15,Monday,0350,8622
2021,11,16,Tuesday,2958,6773
2021,11,17,Wednesday,7782,5815
2021,11,18,Thursday,8462,5334
2021,11,19,Friday,8704,4908
2021,11,20,Saturday,9606,9689
2021,11,21,Sunday,7962,9774
2021,11,22,Monday,2507,0172
2021,11,23,Tuesday,9118,2822
2021,11,24,Wednesday,6110,6051
2021,11,25,Thursday,4321,4673
2021,11,26,Friday,7063,9687
2021,11,27,Saturday,2673,7345
2021,11,28,Sunday,0324,0809
2021,11,29,Monday,0372,4626
2021,11,30,Tuesday,6981,4777
2021,12,1,Wednesday,0829,0989
2021,12,2,Thursday,4946,6370
2021,12,3,Friday,5299,6343
2021,12,4,Saturday,2221,9585
2021,12,5,Sunday,2981,8884
2021,12,6,Monday,2812,2103
2021,12,7,Tuesday,4794,1390
2021,12,8,Wednesday,4553,9450
2021,12,9,Thursday,3895,1128
2021,12,10,Friday,0673,5135
2021,12,11,Saturday,8875,8446
2021,12,12,Sunday,8666,3674
2021,12,13,Monday,0125,0091
2021,12,14,Tuesday,2305,7282
2021,12,15,Wednesday,8778,5949
2021,12,16,Thursday,5976,6626
2021,12,17,Friday,7487,1295
2021,12,18,Saturday,1414,3049
2021,12,19,Sunday,0602,6163
2021,12,20,Monday,7940,0037
2021,12,21,Tuesday,8571,1478
2021,12,22,Wednesday,6547,0202
2021,12,23,Thursday,6215,5295
2021,12,24,Friday,4018,5293
2021,12,25,Saturday,2628,6934
2021,12,26,Sunday,8877,7934
2021,12,27,Monday,1340,3907
2021,12,28,Tuesday,7959,9206
2021,12,29,Wednesday,4336,0522
2021,12,30,Thursday,8999,5979
2021,12,31,Friday,9709,0522
2022,1,1,Saturday,2222,2899
2022,1,2,Sunday,4409,9784
2022,1,3,Monday,2365,4586
2022,1,4,Tuesday,6663,0644
2022,1,5,Wednesday,5389,2334
2022,1,6,Thursday,0036,9974
2022,1,7,Friday,8709,8808
2022,1,8,Saturday,1036,8014
2022,1,9,Sunday,3371,3351
2022,1,10,Monday,7377,6030
2022,1,11,Tuesday,2886,6707
2022,1,12,Wednesday,3563,9411
2022,1,13,Thursday,2061,4395
2022,1,14,Friday,4002,9563
2022,1,15,Saturday,1370,8009
2022,1,16,Sunday,5847,4695
2022,1,17,Monday,5091,9918
2022,1,18,Tuesday,8209,7592
2022,1,19,Wednesday,9589,2610
2022,1,20,Thursday,3051,3074
2022,1,21,Friday,2645,7325
2022,1,22,Saturday,0719,3361
2022,1,23,Sunday,5960,0532
2022,1,24,Monday,2636,1122
2022,1,25,Tuesday,7771,2238
2022,1,26,Wednesday,0625,5954
2022,1,27,Thursday,6816,3942
2022,1,28,Friday,4269,6591
2022,1,29,Saturday,2585,1710
2022,1,30,Sunday,3738,1995
2022,1,31,Monday,9455,8322
2022,2,1,Tuesday,1020,2334
2022,2,2,Wednesday,0324,0658
2022,2,3,Thursday,6856,7733
2022,2,4,Friday,5215,2872
2022,2,5,Saturday,2496,0439
2022,2,6,Sunday,7259,8270
2022,2,7,Monday,7548,3703
2022,2,8,Tuesday,8973,6245
2022,2,9,Wednesday,7580,3423
2022,2,10,Thursday,4828,0164
2022,2,11,Friday,3488,5754
2022,2,12,Saturday,0983,2509
2022,2,13,Sunday,3039,2196
2022,2,14,Monday,1469,4689
2022,2,15,Tuesday,8082,2456
2022,2,16,Wednesday,9645,4397
2022,2,17,Thursday,8088,2002
2022,2,18,Friday,1962,6817
2022,2,19,Saturday,9011,2108
2022,2,20,Sunday,5169,8817
2022,2,21,Monday,9057,2125
2022,2,22,Tuesday,3192,1324
2022,2,23,Wednesday,5216,3356
2022,2,24,Thursday,6789,1483
2022,2,25,Friday,7608,7468
2022,2,26,Saturday,4002,3516
2022,2,27,Sunday,7200,6837
2022,2,28,Monday,7031,5705
2022,3,1,Tuesday,5743,9450
2022,3,2,Wednesday,4306,2576
2022,3,3,Thursday,5636,5166
2022,3,4,Friday,8278,3381
2022,3,5,Saturday,6151,4436
2022,3,6,Sunday,5017,3633
2022,3,7,Monday,7742,3016
2022,3,8,Tuesday,0754,8497
2022,3,9,Wednesday,4222,5523
2022,3,10,Thursday,2458,5399
2022,3,11,Friday,1547,8612
2022,3,12,Saturday,0538,9175
2022,3,13,Sunday,9310,2842
2022,3,14,Monday,8823,1344
2022,3,15,Tuesday,6122,1504
2022,3,16,Wednesday,7107,2274
2022,3,17,Thursday,3327,7754
2022,3,18,Friday,3978,5072
2022,3,19,Saturday,7464,6235
2022,3,20,Sunday,2474,1495
2022,3,21,Monday,9728,9962
2022,3,22,Tuesday,3826,0035
2022,3,23,Wednesday,8638,3700
2022,3,24,Thursday,6272,8479
2022,3,25,Friday,8418,8292
2022,3,26,Saturday,6979,5782
2022,3,27,Sunday,7620,3457
2022,3,28,Monday,2628,6757
2022,3,29,Tuesday,6316,9088
2022,3,30,Wednesday,9363,5825
2022,3,31,Thursday,2275,3068
2022,4,1,Friday,1141,2523
2022,4,2,Saturday,3719,1385
2022,4,3,Sunday,4233,0538
2022,4,4,Monday,0814,9424
2022,4,5,Tuesday,7377,5560
2022,4,6,Wednesday,4781,7913
2022,4,7,Thursday,0972,2085
